Report;Date;Time of submition;Location;Activity;Quantity;Size;Species;Stinging Water;Report ID;Distance from coast;Jellies on the beach;Year;Season;Month;Gold;Website version;Week;Area;Zone;Lat.;Long.;bounding
Offshore;08/07/2011;16;Dor-Atl;Other;50;Oct-30;Rhizostoma pulmo;1;188;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;10;Dor-Atl;Diving;10;Oct-30;Cassiopea andromeda;1;189;Unspecified;0;2011;Summer;7;0;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;16;Hbay-Aco;Other;50;30-60;Rhopilema nomadica;1;196;Unspecified;1;2011;Summer;7;0;1.0;28;North;3;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;16;Hbay-Aco;Other;10;30-60;Rhizostoma pulmo;1;197;Unspecified;1;2011;Summer;7;0;1.0;28;North;3;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;8;Nah-Rhn;Other;2;Oct-30;Rhizostoma pulmo;1;204;Unspecified;1;2011;Summer;7;0;1.0;28;North;1;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;10;Tir-Shq;Swimming;2;Oct-30;Rhopilema nomadica;1;213;Unspecified;0;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;19;Tir-Shq;Walking on Beach;10;30-60;Rhopilema nomadica;Unspecified;214;Unspecified;1;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;12;Tir-Shq;Surfing;10;30-60;Rhopilema nomadica;1;215;Unspecified;1;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;7;Tir-Shq;Walking on Beach;50;30-60;Rhopilema nomadica;1;216;Unspecified;1;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;12;Tir-Shq;Surfing;10;Oct-30;Philorhiza punctata;1;217;Unspecified;0;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;12;Tir-Shq;Surfing;2;Over 60;Cotylorhiza tuberculata;1;218;Unspecified;0;2011;Summer;7;0;1.0;28;North;5;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;12;Dor-Atl;Other;50;30-60;Rhopilema nomadica;1;186;Unspecified;1;2011;Summer;7;1;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;12;Dor-Atl;Other;10;30-60;Rhizostoma pulmo;1;187;Unspecified;1;2011;Summer;7;1;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;08/07/2011;19;Had-Jsr;Diving;10;30-60;Rhopilema nomadica;Unspecified;194;Unspecified;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;19;Had-Jsr;Diving;0;Unspecified;0;Unspecified;195;Unspecified;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;08/07/2011;16;Hrz-Fal;Other;10;30-60;Rhizostoma pulmo;1;198;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;13;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;14;Mich-Had;Swimming;10;Oct-30;Rhopilema nomadica;1;202;Unspecified;1;2011;Summer;7;0;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;14;Mich-Had;Swimming;2;Oct-30;Rhizostoma pulmo;1;203;Unspecified;1;2011;Summer;7;0;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;15;Nat-Mich;Swimming;10;Oct-30;Rhopilema nomadica;1;205;Unspecified;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;11;Tlv-Hrz;Swimming;10;Oct-30;Rhopilema nomadica;1;219;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;10;Tlv-Hrz;Swimming;10;30-60;Rhopilema nomadica;1;220;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;16;Tlv-Hrz;Swimming;50;Oct-30;Rhopilema nomadica;1;221;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;15;Tlv-Hrz;Swimming;50;30-60;Rhopilema nomadica;1;222;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;11;Tlv-Hrz;Swimming;0;Unspecified;0;1;223;Unspecified;0;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;16;Tlv-Hrz;Swimming;2;Oct-30;Rhizostoma pulmo;1;224;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;10;Tlv-Hrz;Swimming;10;30-60;Rhizostoma pulmo;1;225;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;15;Tlv-Hrz;Swimming;2;Oct-30;Philorhiza punctata;1;226;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;16;Tlv-Hrz;Swimming;2;0-10;Philorhiza punctata;1;227;Unspecified;0;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;15;Tlv-Hrz;Swimming;2;Over 60;Cotylorhiza tuberculata;1;228;Unspecified;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;08/07/2011;8;Ask-Ash;Swimming;2;30-60;Rhopilema nomadica;1;179;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;13;Ask-Ash;Walking on Beach;2;30-60;Rhopilema nomadica;1;180;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;9;Ask-Ash;Diving;10;Oct-30;Rhopilema nomadica;Unspecified;181;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;10;Ask-Ash;Swimming;10;30-60;Rhopilema nomadica;1;182;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Offshore;08/07/2011;13;Ask-Ash;Other;10;0-10;Rhopilema nomadica;1;183;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;14;Ask-Ash;Other;50;30-60;Rhopilema nomadica;1;184;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;15;Ask-Ash;Surfing;50;Oct-30;Rhizostoma pulmo;1;185;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;16;Gaz-Ask;Swimming;10;Over 60;Rhopilema nomadica;1;190;Unspecified;1;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;13;Gaz-Ask;Swimming;50;30-60;Rhopilema nomadica;1;191;Unspecified;1;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;13;Gaz-Ask;Swimming;2;30-60;Rhizostoma pulmo;1;192;Unspecified;1;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;16;Gaz-Ask;Swimming;50;Over 60;Rhizostoma pulmo;1;193;Unspecified;1;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;17;Jaf-Tlv;Swimming;2;Oct-30;Rhizostoma pulmo;1;199;Unspecified;1;2011;Summer;7;0;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Offshore;08/07/2011;11;Jaf-Tlv;Other;10;30-60;Rhizostoma pulmo;1;200;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;17;Jaf-Tlv;Swimming;2;0-10;Mnemyopsis Leidyi;1;201;Unspecified;1;2011;Summer;7;0;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;13;Plm-Rsh;Walking on Beach;2;Oct-30;Rhopilema nomadica;1;206;Unspecified;1;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;17;Plm-Rsh;Swimming;2;Oct-60;Rhopilema nomadica;1;207;Unspecified;1;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;17;Plm-Rsh;Swimming;10;Oct-30;Philorhiza punctata;1;208;Unspecified;0;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;16;Rsh-Jaf;Diving;0;Unspecified;0;1;209;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;19;Rsh-Jaf;Walking on Beach;0;Unspecified;0;1;210;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Inshore;08/07/2011;10;Rsh-Jaf;Swimming;10;Over 60;Rhopilema nomadica;1;211;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;08/07/2011;16;Rsh-Jaf;Other;50;Oct-30;Rhizostoma pulmo;Unspecified;212;200 meters-1 mile;1;2011;Summer;7;0,5;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;09/07/2011;11;Aco-Nah;Other;2;30-60;Rhopilema nomadica;1;229;200 meters-1 mile;0;2011;Summer;7;0;1.0;28;North;2;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;8;Dor-Atl;Swimming;10;Oct-30;Rhopilema nomadica;Unspecified;234;Unspecified;1;2011;Summer;7;0;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;8;Dor-Atl;Swimming;2;Oct-30;Philorhiza punctata;Unspecified;235;Unspecified;0;2011;Summer;7;0;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Offshore;09/07/2011;10;Hbay-Aco;Yacht;10;30-60;Rhopilema nomadica;Unspecified;240;1-6 miles;0;2011;Summer;7;0;1.0;28;North;3;32.849519;34.943390;100,456.34,600
Offshore;09/07/2011;10;Hbay-Aco;Yacht;0;Unspecified;0;Unspecified;241;1-6 miles;0;2011;Summer;7;0;1.0;28;North;3;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;11;Nah-Rhn;Walking on Beach;2;Oct-30;Rhopilema nomadica;Unspecified;245;Unspecified;0;2011;Summer;7;0;1.0;28;North;1;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;11;Nah-Rhn;Swimming;2;Oct-30;Rhopilema nomadica;1;246;Unspecified;0;2011;Summer;7;0;1.0;28;North;1;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;11;Nah-Rhn;Swimming;2;Oct-30;Rhizostoma pulmo;1;247;Unspecified;0;2011;Summer;7;0;1.0;28;North;1;32.849519;34.943390;100,456.34,600
Offshore;09/07/2011;8;Shq-Hbay;Other;10;30-60;Rhopilema nomadica;Unspecified;250;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;North;4;32.849519;34.943390;100,456.34,600
Inshore;09/07/2011;14;Had-Jsr;Diving;2;Oct-30;Rhizostoma pulmo;1;239;Unspecified;0;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;09/07/2011;10;Jsr-Dor;Walking on Beach;10;30-60;Rhizostoma pulmo;1;244;Unspecified;1;2011;Summer;7;0;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Offshore;09/07/2011;11;Tlv-Hrz;Kayak;0;Unspecified;0;Unspecified;251;1-6 miles;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Offshore;09/07/2011;11;Tlv-Hrz;Kayak;0;Unspecified;0;Unspecified;252;1-6 miles;1;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;09/07/2011;8;Ask-Ash;Swimming;10;Oct-30;Rhopilema nomadica;1;230;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Offshore;09/07/2011;11;Ask-Ash;Yacht;50;30-60;Rhopilema nomadica;1;231;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;18;Ask-Ash;Walking on Beach;50;30-60;Rhopilema nomadica;1;232;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;8;Ask-Ash;Swimming;0;Unspecified;0;1;233;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;10;Gaz-Ask;Surfing;0;Unspecified;0;Unspecified;236;Unspecified;0;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Offshore;09/07/2011;8;Gaz-Ask;Other;10;30-60;Rhopilema nomadica;Unspecified;237;200 meters-1 mile;0;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Offshore;09/07/2011;8;Gaz-Ask;Other;2;Oct-30;Rhizostoma pulmo;Unspecified;238;200 meters-1 mile;0;2011;Summer;7;0;1.0;28;South;20;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;8;Jaf-Tlv;Surfing;10;Oct-30;Aurelia aurita;Unspecified;242;Unspecified;0;2011;Summer;7;0;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;8;Jaf-Tlv;Surfing;2;Oct-30;Rhopilema nomadica;Unspecified;243;Unspecified;0;2011;Summer;7;0;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;09/07/2011;16;Plm-Rsh;Walking on Beach;10;Oct-30;Rhopilema nomadica;1;248;Unspecified;1;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
